common_name,scientific_name,order,family,genus,species,
Formosan subterranean termite,Coptotermes formosanus Shiraki,Blattodea,Rhinotermitidae,Coptotermes,formosanus,
fourbanded leafroller,Argyrotaenia quadrifasciana (Fernald),Lepidoptera,Tortricidae,Argyrotaenia,quadrifasciana,
foureyed spruce bark beetle,Polygraphus rufipennis (Kirby),Coleoptera,Curculionidae,Polygraphus,rufipennis,
fourlined plant bug,Poecilocapsus lineatus (Fabricius),Hemiptera,Miridae,Poecilocapsus,lineatus,
fourspotted spider mite,Tetranychus canadensis (McGregor),Acari,Tetranychidae,Tetranychus,canadensis,
fourspotted tree cricket,Oecanthus quadripunctatus Beutenm,Orthoptera,Gryllidae,Oecanthus,quadripunctatus,
fowl tick,Argas persicus (Oken),Acari,Argasidae,Argas,persicus,
foxglove aphid,Aulacorthum solani (Kaltenbach),Hemiptera,Aphididae,Aulacorthum,solani,
Franklin bumble bee,Bombus franklini Frison,Hymenoptera,Apidae,Bombus,franklini,
frigate bird fly,Olfersia spinifera (Leach),Diptera,Hippoboscidae,Olfersia,spinifera,
fringed orchid aphid,Cerataphis orchidearum (Westwood),Hemiptera,Aphididae,Cerataphis,orchidearum,
frit fly,Oscinella frit (Linnaeus),Diptera,Chloropidae,Oscinella,frit,
fruittree leafroller,Archips argyrospila (Walker),Lepidoptera,Tortricidae,Archips,argyrospila,
Fuller rose beetle,Naupactus cervinus Boheman,Coleoptera,Curculionidae,Naupactus,cervinus,
furniture beetle,Anobium punctatum (De Geer),Coleoptera,Ptinidae,Anobium,punctatum,
furniture carpet beetle,Anthrenus flavipes LeConte,Coleoptera,Dermestidae,Anthrenus,flavipes,
fuzzy-horned bumble bee,Bombus mixtus Cresson,Hymenoptera,Apidae,Bombus,mixtus,
gallmaking maple borer,Xylotrechus aceris Fisher,Coleoptera,Cerambycidae,Xylotrechus,aceris,
Gambel oak borer,Agrilus quercicola Fisher,Coleoptera,Buprestidae,Agrilus,quercicola,
garden fleahopper,Microtechnites bractatus (Say),Hemiptera,Miridae,Microtechnites,bractatus,
garden millipede,Oxidus gracilis Koch,Polydesmida,Paradoxoxomatidae,Oxidus,gracilis,
garden springtail,Bourletiella hortensis (Fitch),Collembola,Bourletiellidae,Bourletiella,hortensis,
garden symphylan,Scutigerella immaculata (Newport),Symphyla,Scutigerellidae,Scutigerella,immaculata,
garden webworm,Achyra rantalis (Guenée),Lepidoptera,Crambidae,Achyra,rantalis,
gardenia bud mite,Colomerus gardeniella (Keifer),Acari,Eriophyidae,Colomerus,gardeniella,
genista caterpillar,Uresiphita reversalis (Guenée),Lepidoptera,Crambidae,Uresiphita,reversalis,
German cockroach,Blattella germanica (Linnaeus),Blattodea,Blattellidae,Blattella,germanica,
German yellowjacket,Vespula germanica (Fabricius),Hymenoptera,Vespidae,Vespula,germanica,
ghost ant,Tapinoma melanocephalum (Fabricius),Hymenoptera,Formicidae,Tapinoma,melanocephalum,
giant African snail,Achatina fulica Bowdich,Stylommatophora,Achatinidae,Achatina,fulica,
giant bark aphid,Longistigma caryae (Harris),Hemiptera,Aphididae,Longistigma,caryae,
giant Hawaiian dragonfly,Anax strenuus Hagen,Odonata,Aeshnidae,Anax,strenuus,
giant palm borer,Dinapate wrightii Horn,Coleoptera,Bostrichidae,Dinapate,wrightii,
giant stag beetle,Lucanus elaphus Fabricius,Coleoptera,Lucanidae,Lucanus,elaphus,
giant walkingstick,Megaphasma denticrus (Stål),Phasmatodea,Diapheromeridae,Megaphasma,denticrus,
giant water bug,Lethocerus americanus (Leidy),Hemiptera,Belostomatidae,Lethocerus,americanus,
Giffard whitefly,Bemisia giffardi (Kotinsky),Hemiptera,Aleyrodidae,Bemisia,giffardi,
ginger maggot,Eumerus figurans Walker,Diptera,Syrphidae,Eumerus,figurans,
gladiolus thrips,Thrips simplex (Morison),Thysanoptera,Thripidae,Thrips,simplex,
glassy cutworm,Apamea devastator (Brace),Lepidoptera,Noctuidae,Apamea,devastator,
glassy-winged sharpshooter,Homalodisca vitripennis (Germar),Hemiptera,Cicadellidae,Homalodisca,vitripennis,
globose scale,Sphaerolecanium prunastri (Boyer de Fonscolombe),Hemiptera,Coccidae,Sphaerolecanium,prunastri,
globular spider beetle,Trigonogenius globulum Solier,Coleoptera,Ptinidae,Trigonogenius,globulum,
gloomy scale,Melanaspis tenebricosa (Comstock),Hemiptera,Diaspididae,Melanaspis,tenebricosa,
Glover scale,Lepidosaphes gloverii (Packard),Hemiptera,Diaspididae,Lepidosaphes,gloverii,
goat biting louse,Bovicola caprae (Gurlt),Phthiraptera,Trichodectidae,Bovicola,caprae,
goat follicle mite,Demodex caprae Railliet,Acari,Demodicidae,Demodex,caprae,
goat sucking louse,Linognathus stenopsis (Burmeister),Phthiraptera,Linognathidae,Linognathus,stenopsis,
golden buprestid,Buprestis aurulenta Linnaeus,Coleoptera,Buprestidae,Buprestis,aurulenta,
golden cricket wasp,Liris aurulentus (Fabricius),Hymenoptera,Sphecidae,Liris,aurulentus,
golden oak scale,Asterolecanium variolosum (Ratzeburg),Hemiptera,Asterolecaniidae,Asterolecanium,variolosum,
golden paper wasp,Polistes aurifer Saussure,Hymenoptera,Vespidae,Polistes,aurifer,
golden spider beetle,Niptus hololeucus (Faldermann),Coleoptera,Ptinidae,Niptus,hololeucus,
golden tortoise beetle,Charidotella sexpunctata bicolor (Fabricius),Coleoptera,Chrysomelidae,Charidotella,sexpunctata bicolor,
goldeneyed lacewing,Chrysopa oculata Say,Neuroptera,Chrysopidae,Chrysopa,oculata,
goldenglow aphid,Uroleucon rudbeckiae (Fitch),Hemiptera,Aphididae,Uroleucon,rudbeckiae,
goldenheaded weevil,Compasus auricephalus (Say),Coleoptera,Curculionidae,Compasus,auricephalus,
goldspotted oak borer,Agrilus coxalis Waterhouse,Coleoptera,Buprestidae,Agrilus,coxalis,
goose body louse,Trinoton anserinum (Fabricius),Phthiraptera,Menoponidae,Trinoton,anserinum,
gooseberry fruitworm,Zophodia grossulariella (Hübner),Lepidoptera,Pyralidae,Zophodia,grossulariella,
gooseberry witchbroom aphid,Nasonovia houghtonensis (Troop),Hemiptera,Aphididae,Nasonovia,houghtonensis,
gophertortoise tick,Amblyomma tuberculatum Marx,Acari,Ixodidae,Amblyomma,tuberculatum,
gorse seed weevil,Apion ulicis (Förster),Coleoptera,Brentidae,Apion,ulicis,
grain mite,Acarus siro Linnaeus,Acari,Acaridae,Acarus,siro,
grain rust mite,Abacarus hystrix (Nalepa),Acari,Eriophyidae,Abacarus,hystrix,
grain thrips,Limothrips cerealium (Haliday),Thysanoptera,Thripidae,Limothrips,cerealium,
granary weevil,Sitophilus granarius (Linnaeus),Coleoptera,Curculionidae,Sitophilus,granarius,
granulate ambrosia beetle,Xylosandrus crassiusculus (Motschulsky),Coleoptera,Curculionidae,Xylosandrus,crassiusculus,
granulate cutworm,Feltia subterranea (Fabricius),Lepidoptera,Noctuidae,Feltia,subterranea,
grape berry moth,Paralobesia viteana (Clemens),Lepidoptera,Tortricidae,Paralobesia,viteana,
grape blossom midge,Contarinia johnsoni Felt,Diptera,Cecidomyiidae,Contarinia,johnsoni,
grape cane gallmaker,Ampeloglypter sesostris (LeConte),Coleoptera,Curculionidae,Ampeloglypter,sesostris,
grape colaspis,Colaspis brunnea (Fabricius),Coleoptera,Chrysomelidae,Colaspis,brunnea,
grape curculio,Craponius inaequalis (Say),Coleoptera,Curculionidae,Craponius,inaequalis,
grape erineum mite,Colomerus vitis (Pagenstecher),Acari,Eriophyidae,Colomerus,vitis,
grape flea beetle,Altica chalybea Illiger,Coleoptera,Chrysomelidae,Altica,chalybea,
grape leaffolder,Desmia funeralis (Hübner),Lepidoptera,Crambidae,Desmia,funeralis,
grape mealybug,Pseudococcus maritimus (Ehrhorn),Hemiptera,Pseudococcidae,Pseudococcus,maritimus,
grape phylloxera,Daktulosphaira vitifoliae (Fitch),Hemiptera,Phylloxeridae,Daktulosphaira,vitifoliae,
grape plume moth,Pterophorus periscelidactylus Fitch,Lepidoptera,Pterophoridae,Pterophorus,periscelidactylus,
grape root borer,Vitacea polistiformis (Harris),Lepidoptera,Sesiidae,Vitacea,polistiformis,
grape rootworm,Fidia viticida Walsh,Coleoptera,Chrysomelidae,Fidia,viticida,
grape sawfly,Erythraspides vitis (Harris),Hymenoptera,Tenthredinidae,Erythraspides,vitis,
grape scale,Diaspidiotus uvae (Comstock),Hemiptera,Diaspididae,Diaspidiotus,uvae,
grape seed chalcid,Evoxysoma vitis (Saunders),Hymenoptera,Eurytomidae,Evoxysoma,vitis,
grape thrips,Drepanothrips reuteri Uzel,Thysanoptera,Thripidae,Drepanothrips,reuteri,
grape trunk borer,Clytoleptus albofasciatus (Laporte & Gory),Coleoptera,Cerambycidae,Clytoleptus,albofasciatus,
grape whitefly,Trialeurodes vittata (Quaintance),Hemiptera,Aleyrodidae,Trialeurodes,vittata,
grapeleaf skeletonizer,Harrisina americana (Guerin),Lepidoptera,Zygaenidae,Harrisina,americana,
grapevine aphid,Aphis illinoisensis Shimer,Hemiptera,Aphididae,Aphis,illinoisensis,
grapevine looper,Eulithis diversilineata (Hübner),Lepidoptera,Geometridae,Eulithis,diversilineata,
grass fleahopper,Halticus chrysolepis Kirkaldy,Hemiptera,Miridae,Halticus,chrysolepis,
grass mite,Siteroptes graminum (Reuter),Acari,Siteroptidae,Siteroptes,graminum,
grass sawfly,Pachynematus extensicornis (Norton),Hymenoptera,Tenthredinidae,Pachynematus,extensicornis,
grass scolytid,Hypothenemus pubescens Hopkins,Coleoptera,Curculionidae,Hypothenemus,pubescens,
grass sharpshooter,Draeculacephala minerva Ball,Hemiptera,Cicadellidae,Draeculacephala,minerva,
grass sheathminer,Cerodontha dorsalis (Loew),Diptera,Agromyzidae,Cerodontha,dorsalis,
grass thrips,Anaphothrips obscurus (Müller),Thysanoptera,Thripidae,Anaphothrips,obscurus,
grass webworm,Herpetogramma licarsisalis (Walker),Lepidoptera,Crambidae,Herpetogramma,licarsisalis,
grasshopper bee fly,Systoechus vulgaris Loew,Diptera,Bombyliidae,Systoechus,vulgaris,
grasshopper maggots,Blaesoxipha spp.,Diptera,Sarcophagidae,Blaesoxipha,spp.,
gray garden slug,Deroceras reticulatum (Müller),Stylommatophora,Agriolimacidae,Deroceras,reticulatum,
gray lawn leafhopper,Exitianus exitiosus (Uhler),Hemiptera,Cicadellidae,Exitianus,exitiosus,
gray pineapple mealybug,Dysmicoccus neobrevipes Beardsley,Hemiptera,Pseudococcidae,Dysmicoccus,neobrevipes,
gray sugarcane mealybug,Dysmicoccus boninsis (Kuwana),Hemiptera,Pseudococcidae,Dysmicoccus,boninsis,
gray sunflower seed weevil,Smicronyx sordidus LeConte,Coleoptera,Curculionidae,Smicronyx,sordidus,
gray willow leaf beetle,Tricholochmaea decora decora (Say),Coleoptera,Chrysomelidae,Tricholochmaea,decora decora,
graybanded leafroller,Argyrotaenia mariana (Fernald),Lepidoptera,Tortricidae,Argyrotaenia,mariana,
great ash sphinx,Sphinx chersis (Hübner),Lepidoptera,Sphingidae,Sphinx,chersis,
Great Basin wireworm,Ctenicera pruinina (Horn),Coleoptera,Elateridae,Ctenicera,pruinina,
great tree cricket,Oecanthus major Walker,Orthoptera,Gryllidae,Oecanthus,major,
greater wax moth,Galleria mellonella (Linnaeus),Lepidoptera,Pyralidae,Galleria,mellonella,
greedy scale,Hemiberlesia rapax (Comstock),Hemiptera,Diaspididae,Hemiberlesia,rapax,
green budworm,Hedya nubiferana (Haworth),Lepidoptera,Tortricidae,Hedya,nubiferana,
green cloverworm,Hypena scabra (Fabricius),Lepidoptera,Erebidae,Hypena,scabra,
green fruitworm,Lithophane antennata (Walker),Lepidoptera,Noctuidae,Lithophane,antennata,
green garden looper,Chrysodeixis eriosoma (Doubleday),Lepidoptera,Noctuidae,Chrysodeixis,eriosoma,
green June beetle,Cotinis nitida (Linnaeus),Coleoptera,Scarabaeidae,Cotinis,nitida,
green peach aphid,Myzus persicae (Sulzer),Hemiptera,Aphididae,Myzus,persicae,
green rose chafer,Dichelonyx backi (Kirby),Coleoptera,Scarabaeidae,Dichelonyx,backi,
green scale,Coccus viridis (Green),Hemiptera,Coccidae,Coccus,viridis,
green shield scale,Pulvinaria psidii Maskell,Hemiptera,Coccidae,Pulvinaria,psidii,
green sphinx,Tinostoma smaragditis (Meyrick),Lepidoptera,Sphingidae,Tinostoma,smaragditis,
green spruce aphid,Cinara fornacula Hottes,Hemiptera,Aphididae,Cinara,fornacula,
green stink bug,Chinavia hilaris (Say),Hemiptera,Pentatomidae,Chinavia,hilaris,
greenbug,Schizaphis graminum (Rondani),Hemiptera,Aphididae,Schizaphis,graminum,
greenheaded spruce sawfly,Pikonema dimmockii (Cresson),Hymenoptera,Tenthredinidae,Pikonema,dimmockii,
greenhouse leaftier*,Udea rubigalis (Guenée),Lepidoptera,Crambidae,Udea,rubigalis,
greenhouse orthezia,Orthezia insignis Browne,Hemiptera,Ortheziidae,Orthezia,insignis,
greenhouse slug,Milax gagates (Draparnaud),Stylommatophora,Limacidae,Milax,gagates,
greenhouse stone cricket,Tachycines asynamorus Adelung,Orthoptera,Gryllacrididae,Tachycines,asynamorus,
greenhouse thrips,Heliothrips haemorrhoidalis (Bouch),Thysanoptera,Thripidae,Heliothrips,haemorrhoidalis,
greenhouse whitefly,Trialeurodes vaporariorum (Westwood),Hemiptera,Aleyrodidae,Trialeurodes,vaporariorum,
greenstriped grasshopper,Chortophaga viridifasciata (De Geer),Orthoptera,Acrididae,Chortophaga,viridifasciata,
greenstriped mapleworm,Dryocampa rubicunda (Fabricius),Lepidoptera,Saturniidae,Dryocampa,rubicunda,
gregarious oak leafminer,Cameraria cincinnatiella (Chambers),Lepidoptera,Gracillariidae,Cameraria,cincinnatiella,
ground mealybug,Rhizoecus falcifer Künckel d'Herculais,Hemiptera,Pseudococcidae,Rhizoecus,falcifer,
guar midge,Contarinia texana (Felt),Diptera,Cecidomyiidae,Contarinia,texana,
Guatemalan potato moth,Tecia solanivora (Povolny),Lepidoptera,Gelechiidae,Tecia,solanivora,
guava moth,Ophiusa disjungens (Walker),Lepidoptera,Noctuidae,Ophiusa,disjungens,
Guinea ant,Tetramorium bicarinatum (Nylander),Hymenoptera,Formicidae,Tetramorium,bicarinatum,
Guinea feather louse,Goniodes numidae Möjberg,Phthiraptera,Philopteridae,Goniodes,numidae,
Gulf Coast tick,Amblyomma maculatum Koch,Acari,Ixodidae,Amblyomma,maculatum,
Gulf wireworm,Conoderus amplicollis (Gyllenhal),Coleoptera,Elateridae,Conoderus,amplicollis,
hackberry blistergall psyllid,Pachypsylla celtidisvesiculum Riley,Hemiptera,Aphalaridae ,Pachypsylla,celtidisvesiculum,
hackberry engraver,Scolytus muticus Say,Coleoptera,Curculionidae,Scolytus,muticus,
hackberry lace bug,Corythucha celtidis Osborn & Drake,Hemiptera,Tingidae,Corythucha,celtidis,
hackberry nipplegall maker,Pachypsylla celtidismamma (Fletcher),Hemiptera,Aphalaridae ,Pachypsylla,celtidismamma,
hag moth,Phobetron pithecium (J.E.Smith),Lepidoptera,Limacodidae,Phobetron,pithecium,
hairy chinch bug,Blissus leucopterus hirtus Montandon,Hemiptera,Blissidae,Blissus,leucopterus hirtus,
hairy fungus beetle,Typhaea stercorea (Linnaeus),Coleoptera,Mycetophagidae,Typhaea,stercorea,
hairy maggot blow fly,Chrysomya rufifacies (Macquart),Diptera,Calliphoridae,Chrysomya,rufifacies,
hairy rove beetle,Creophilus maxillosus (Linnaeus),Coleoptera,Staphylinidae,Creophilus,maxillosus,
hairy spider beetle,Ptinus villiger (Reitter),Coleoptera,Ptinidae,Ptinus,villiger,
half-black bumble bee,Bombus vagans (Smith),Hymenoptera,Apidae,Bombus,vagans,
Hall scale,Nilotaspis halli (Green),Hemiptera,Diaspididae,Nilotaspis,halli,
hard maple budminer,Obrussa ochrefasciella (Chambers),Lepidoptera,Nepticulidae,Obrussa,ochrefasciella,
harlequin bug,Murgantia histrionica (Hahn),Hemiptera,Pentatomidae,Murgantia,histrionica,
harlequin cockroach,Neostylopyga rhombifolia (Stoll),Blattodea,Blattidae,Neostylopyga,rhombifolia,
hau leafminer,Philodoria hauicola (Swezey),Lepidoptera,Gracillariidae,Philodoria,hauicola,
Hawaiian antlion,Eidoleon wilsoni (McLachlan),Neuroptera,Myrmeleontidae,Eidoleon,wilsoni,
Hawaiian beet webworm,Spoladea recurvalis (Fabricius),Lepidoptera,Crambidae,Spoladea,recurvalis,
Hawaiian bud moth,Helicoverpa hawaiiensis (Quaintance & Brues),Lepidoptera,Noctuidae,Helicoverpa,hawaiiensis,
Hawaiian carpenter ant,Camponotus variegatus (F. Smith),Hymenoptera,Formicidae,Camponotus,variegatus,
Hawaiian flower thrips,Thrips hawaiiensis (Morgan),Thysanoptera,Thripidae,Thrips,hawaiiensis,
Hawaiian grass thrips,Anaphothrips swezeyi Moulton,Thysanoptera,Thripidae,Anaphothrips,swezeyi,
Hawaiian happy face spider,Theridion grallator Simon,Araneae,Theridiidae,Theridion,grallator,
Hawaiian pelagic water strider,Halobates hawaiiensis Usinger,Hemiptera,Gerridae,Halobates,hawaiiensis,
Hawaiian sphinx,Hyles calida (Butler),Lepidoptera,Sphingidae,Hyles,calida,
hawthorn lace bug,Corythucha cydoniae (Fitch),Hemiptera,Tingidae,Corythucha,cydoniae,
hawthorn mealybug,Phenacoccus dearnessi (King),Hemiptera,Pseudococcidae,Phenacoccus,dearnessi,
hazelnut weevil,Curculio obtusus (Blanchard),Coleoptera,Curculionidae,Curculio,obtusus,
hazel-stem borer,Agrilus pseudocoryli Fisher,Coleoptera,Buprestidae,Agrilus,pseudocoryli,
head louse,Pediculus humanus capitis De Geer,Phthiraptera,Pediculidae,Pediculus,humanus capitis,
heath spittlebug,Clastoptera saintcyri Provancher,Hemiptera,Cercopidae,Clastoptera,saintcyri,
hemispherical scale,Saissetia coffeae (Walker),Hemiptera,Coccidae,Saissetia,coffeae,
hemlock borer,Phaenops fulvoguttata (Harris),Coleoptera,Buprestidae,Phaenops,fulvoguttata,
hemlock engraver,Scolytus tsugae (Swaine),Coleoptera,Curculionidae,Scolytus,tsugae,
hemlock looper,Lambdina fiscellaria fiscellaria (Guenée),Lepidoptera,Geometridae,Lambdina,fiscellaria fiscellaria,
hemlock sawfly,Neodiprion tsugae Ross,Hymenoptera,Diprionidae,Neodiprion,tsugae,
hemlock scale,Abgrallaspis ithacae (Ferris),Hemiptera,Diaspididae,Abgrallaspis,ithacae,
hemlock woolly adelgid,Adelges tsugae Annand,Hemiptera,Adelgidae,Adelges,tsugae,
hemp russet mite,Aculops cannibicola (Farkas),Acari,Eriophyidae,Aculops,cannibicola,
Hessian fly,Mayetiola destructor (Say),Diptera,Cecidomyiidae,Mayetiola,destructor,
hibiscus erineum mite,Aceria hibisci (Nalepa),Acari,Eriophyidae,Aceria,hibisci,
hibiscus leafminer,Philodoria hibiscella (Swezey),Lepidoptera,Gracillariidae,Philodoria,hibiscella,
hibiscus mealybug,Nipaecoccus viridis (Newstead),Hemiptera,Pseudococcidae,Nipaecoccus,viridis,
hibiscus whitefly,Singhius hibisci (Kotinsky),Hemiptera,Aleyrodidae,Singhius,hibisci,
hickory bark beetle,Scolytus quadrispinosus Say,Coleoptera,Curculionidae,Scolytus,quadrispinosus,
hickory horned devil*,Citheronia regalis (Fabricius),Lepidoptera,Saturniidae,Citheronia,regalis,
hickory leafroIler,Argyrotaenia juglandana (Fernald),Lepidoptera,Tortricidae,Argyrotaenia,juglandana,
hickory plant bug,Neolygus caryae (Knight),Hemiptera,Miridae,Neolygus,caryae,
hickory shuckworm,Cydia caryana (Fitch),Lepidoptera,Tortricidae,Cydia,caryana,
hickory tussock moth,Lophocampa caryae Harris,Lepidoptera,Erebidae,Lophocampa,caryae,
hide beetle,Dermestes maculatus De Geer,Coleoptera,Dermestidae,Dermestes,maculatus,
high country bumble bee,Bombus balteatus Dahlbom,Hymenoptera,Apidae,Bombus,balteatus,
high noon ant,Forelius pruinosus (Roger),Hymenoptera,Formicidae,Forelius,pruinosus,
High Plains grasshopper,Dissosteira longipennis (Thomas),Orthoptera,Acrididae,Dissosteira,longipennis,
hobo spider,Tegenaria agrestis (Walckenaer),Araneae,Agelenidae,Tegenaria,agrestis,
hog follicle mite,Demodex phylloides Csokor,Acari,Demodicidae,Demodex,phylloides,
hog louse,Haematopinus suis (Linnaeus),Phthiraptera,Haematopinidae,Haematopinus,suis,
holly leafminer,Phytomyza ilicis Curtis,Diptera,Agromyzidae,Phytomyza,ilicis,
holly scale,Dynaspidiotus britannicus (Newstead),Hemiptera,Diaspididae,Dynaspidiotus,britannicus,
hollyhock plant bug,Brooksetta althaeae (Hussey),Hemiptera,Miridae,Brooksetta,althaeae,
hollyhock weevil,Rhopalapion longirostre (Olivier),Coleoptera,Brentidae,Rhopalapion,longirostre,
honey bee,Apis mellifera Linnaeus,Hymenoptera,Apidae,Apis,mellifera,
honey bee mite,Acarapis woodi (Rennie),Acari,Tarsonemidae,Acarapis,woodi,
honeylocust plant bug,Blepharidopterus chlorionis (Say),Hemiptera,Miridae,Blepharidopterus,chlorionis,
honeylocust spider mite,Platytetranychus multidigituli (Ewing),Acari,Tetranychidae,Platytetranychus,multidigituli,
honeysuckle leafminer,Swezeyula lonicerae Zimmerman & Bradley,Lepidoptera,Elachistidae,Swezeyula,lonicerae,
honeysuckle sawfly,Abia inflata (Norton),Hymenoptera,Cimbicidae,Abia,inflata,
hop aphid,Phorodon humuli (Schrank),Hemiptera,Aphididae,Phorodon,humuli,
hop flea beetle,Psylliodes punctulata Melsheimer,Coleoptera,Chrysomelidae,Psylliodes,punctulata,
hop looper,Hypena humuli Harris,Lepidoptera,Erebidae,Hypena,humuli,
hop plant bug,Taedia hawleyi (Knight),Hemiptera,Miridae,Taedia,hawleyi,
horn fly,Haematobia irritans (Linnaeus),Diptera,Muscidae,Haematobia,irritans,
horned passalus,Odontotaenius disjunctus (Illiger),Coleoptera,Passalidae,Odontotaenius,disjunctus,
horned squash bug,Anasa armigera (Say),Hemiptera,Coreidae,Anasa,armigera,
hornet moth,Sesia apiformis (Clerck),Lepidoptera,Sesiidae,Sesia,apiformis,
horse biting louse,Bovicola equi (Denny),Phthiraptera,Trichodectidae,Bovicola,equi,
horse bot fly,Gasterophilus intestinalis (De Geer),Diptera,Oestridae,Gasterophilus,intestinalis,
